onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.995	instruction	0	0	 0.000
 1.995	 1.995	filler	0	0	 0.000
 3.990	 0.533	fixation_cross	0	0	 0.000
 4.523	 0.797	pres	1	0	 2147483.647
 5.320	 1.530	resp	0	0	 0.000
 6.850	 1.330	jitter	0	0	 0.000
 8.180	 0.532	fixation_cross	0	0	 0.000
 8.712	 0.798	pres	1	0	 2147483.647
 9.510	 1.529	resp	0	0	 0.000
 11.039	 1.264	jitter	0	0	 0.000
 12.303	 0.532	fixation_cross	0	0	 0.000
 12.835	 0.798	pres	1	0	 2147483.647
 13.633	 1.529	resp	0	0	 0.000
 15.162	 1.463	jitter	0	0	 0.000
 16.625	 0.532	fixation_cross	0	0	 0.000
 17.157	 0.798	pres	1	0	 2147483.647
 17.955	 1.530	resp	0	0	 0.000
 19.485	 1.064	jitter	0	0	 0.000
 20.549	 0.532	fixation_cross	0	0	 0.000
 21.081	 0.798	pres	1	0	 2147483.647
 21.879	 1.529	resp	0	0	 0.000
 23.408	 1.131	jitter	0	0	 0.000
 24.539	 0.531	fixation_cross	0	0	 0.000
 25.070	 0.798	pres	1	0	 2147483.647
 25.868	 1.530	resp	0	0	 0.000
 27.398	 1.264	jitter	0	0	 0.000
 28.662	 0.532	fixation_cross	0	0	 0.000
 29.194	 0.798	pres	1	0	 2147483.647
 29.992	 1.529	resp	0	0	 0.000
 31.521	 1.463	jitter	0	0	 0.000
 32.984	 0.532	fixation_cross	0	0	 0.000
 33.516	 0.798	pres	1	0	 2147483.647
 34.314	 1.530	resp	0	0	 0.000
 35.844	 1.463	jitter	0	0	 0.000
 37.307	 0.532	fixation_cross	0	0	 0.000
 37.839	 0.798	pres	1	0	 2147483.647
 38.637	 1.529	resp	0	0	 0.000
 40.166	 1.064	jitter	0	0	 0.000
 41.230	 0.532	fixation_cross	0	0	 0.000
 41.762	 0.798	pres	1	0	 2147483.647
 42.560	 1.530	resp	0	0	 0.000
 44.090	 1.463	jitter	0	0	 0.000
 45.553	 0.531	fixation_cross	0	0	 0.000
 46.084	 0.798	pres	1	0	 2147483.647
 46.882	 1.530	resp	0	0	 0.000
 48.412	 1.264	jitter	0	0	 0.000
 49.676	 0.532	fixation_cross	0	0	 0.000
 50.208	 0.798	pres	1	0	 2147483.647
 51.006	 1.529	resp	0	0	 0.000
 52.535	 1.263	jitter	0	0	 0.000
 53.798	 0.533	fixation_cross	0	0	 0.000
 54.331	 0.798	pres	1	0	 2147483.647
 55.129	 1.529	resp	0	0	 0.000
 56.658	 1.130	jitter	0	0	 0.000
 57.788	 0.532	fixation_cross	0	0	 0.000
 58.320	 0.798	pres	1	0	 2147483.647
 59.118	 1.530	resp	0	0	 0.000
 60.648	 1.264	jitter	0	0	 0.000
 61.912	 0.531	fixation_cross	0	0	 0.000
 62.443	 0.798	pres	1	0	 2147483.647
 63.241	 1.530	resp	0	0	 0.000
 64.771	 1.463	jitter	0	0	 0.000
 66.234	 0.532	fixation_cross	0	0	 0.000
 66.766	 0.798	pres	1	0	 2147483.647
 67.564	 1.529	resp	0	0	 0.000
 69.093	 1.331	jitter	0	0	 0.000
 70.424	 0.532	fixation_cross	0	0	 0.000
 70.956	 0.798	pres	1	0	 2147483.647
 71.754	 1.529	resp	0	0	 0.000
 73.283	 1.263	jitter	0	0	 0.000
 74.546	 0.533	fixation_cross	0	0	 0.000
 75.079	 0.798	pres	1	0	 2147483.647
 75.877	 1.529	resp	0	0	 0.000
 77.406	 1.263	jitter	0	0	 0.000
 78.669	 0.532	fixation_cross	0	0	 0.000
 79.201	 0.799	pres	1	0	 2147483.647
 80.000	 1.529	resp	0	0	 0.000
 81.529	 1.463	jitter	0	0	 0.000
 82.992	 0.532	fixation_cross	0	0	 0.000
 83.524	 0.798	pres	1	0	 2147483.647
 84.322	 1.530	resp	0	0	 0.000
 85.852	 1.463	jitter	0	0	 0.000
 87.315	 0.531	fixation_cross	0	0	 0.000
 87.846	 0.798	pres	1	0	 2147483.647
 88.644	 1.530	resp	0	0	 0.000
 90.174	 1.330	jitter	0	0	 0.000
 91.504	 0.532	fixation_cross	0	0	 0.000
 92.036	 0.798	pres	1	0	 2147483.647
 92.834	 1.530	resp	0	0	 0.000
 94.364	 1.063	jitter	0	0	 0.000
 95.427	 0.533	fixation_cross	0	0	 0.000
 95.960	 0.798	pres	1	0	 2147483.647
 96.758	 1.529	resp	0	0	 0.000
 98.287	 0.931	jitter	0	0	 0.000
